Work Section (Location),Department," Inspection Request for:
(Type of Inspection)"
HRSG,civil,Holes Drilling
HRSG,civil,Cage Installation
HRSG,civil,Concrete Pouring
GTG BUILDING,civil,Rebar Cage Inspection
GTG BUILDING,civil,Holes Drilling
GTG BUILDING,civil,Cage Installation
GTG BUILDING,civil,Concrete Pouring
GTG BUILDING,civil,Holes Drilling
GTG BUILDING,civil,Cage Installation
GTG BUILDING,civil,Concrete Pouring
Control and administration building,civil,Inspection of rebar installation of columns in axes
GTG BUILDING,civil,Holes Drilling
GTG BUILDING,civil,Cage Installation
GTG BUILDING,civil,Concrete Pouring
GTG BUILDING,civil,Holes Drilling
GTG BUILDING,civil,Cage Installation
GTG BUILDING,civil,Concrete Pouring
RO AND DM BUILDING,civil,"Chech the foundation pit after replacement 
excavation"
RO AND DM BUILDING,civil,"inspection of dimension and level of replacement excavation area, ensure to provide enough work space "
GTG BUILDING,civil,Rebar Cage Inspection
GTG BUILDING,civil,Holes Drilling
GTG BUILDING,civil,Cage Installation
GTG BUILDING,civil,Concrete Pouring
GTG BUILDING,civil,Holes Drilling
GTG BUILDING,civil,Cage Installation
GTG BUILDING,civil,Concrete Pouring
Control and administration building,civil, Inspection of formwork installation of columns in axes
Control and administration building,civil, Inspection of rebar installation of columns in axes
Main electrical building,civil,Inspection of rebar installation of columns in axes
AIR COOLED CONDENSER,civil,Concrete test block report
GTG BUILDING,civil,Concrete test block report
GAS TURBINE & GENERATOR,civil,Concrete test block report
GTG BUILDING,civil,Holes Drilling
GTG BUILDING,civil,Cage Installation
GTG BUILDING,civil,Concrete Pouring
AIR COOLED CONDENSER,civil,Concrete test block report
HRSG,civil,Survey and setting out
GTG BUILDING,civil,Rebar Cage Inspection
GTG BUILDING,civil,Holes Drilling
GTG BUILDING,civil,Cage Installation
GTG BUILDING,civil,Concrete Pouring
GTG BUILDING,civil,Holes Drilling
GTG BUILDING,civil,Cage Installation
GTG BUILDING,civil,Concrete Pouring
GTG BUILDING,civil,Rebar Cage Inspection
GTG BUILDING,civil,Holes Drilling
GTG BUILDING,civil,Cage Installation
GTG BUILDING,civil,Concrete Pouring
GTG BUILDING,civil,Holes Drilling
GTG BUILDING,civil,Cage Installation
GTG BUILDING,civil,Concrete Pouring
Control and administration building,civil,Inspection of formwork intallation of columns in axes
Control and administration building,civil, Inspection of formwork installation of columns in axes
Control and administration building,civil,"Inspection of Concrete Sampling, Testing and Placement of columns in axes"
GTG BUILDING,civil,Survey and setting out
GTG BUILDING,civil,Holes Drilling
GTG BUILDING,civil,Cage Installation
GTG BUILDING,civil,Concrete Pouring
ACC DUCT-FOUNDATION,civil,survey and setting out
ACC DUCT-FOUNDATION,civil,Rebar Cage Inspection
ACC DUCT-FOUNDATION,civil,Holes Drilling
ACC DUCT-FOUNDATION,civil,Cage Installation
ACC DUCT-FOUNDATION,civil,Concrete Pouring
ACC DUCT-FOUNDATION,civil,survey and setting out
ACC DUCT-FOUNDATION,civil,Holes Drilling
ACC DUCT-FOUNDATION,civil,Cage Installation
ACC DUCT-FOUNDATION,civil,Concrete Pouring
ACC DUCT-FOUNDATION,civil,Holes Drilling
ACC DUCT-FOUNDATION,civil,Cage Installation
ACC DUCT-FOUNDATION,civil,Concrete Pouring
GASN LABORATORY,civil,Concrete Strength test for B35 (M450) (sulfate resistance cement) Day28
BATCHING PLANT,civil,Making the test cubic for testing concrete strength and witness the the work ability duration performance.
GASN LABORATORY,civil,B25(M350) (Sulfate Resistance Cement) concrete streng test Day3
BATCHING PLANT,civil,Making the test cubic for testing concrete strength and witness the the work ability duration performance.
GASN LABORATORY,civil,Concrete Strength test for  B35(M450) (Sulfate resistance cement)-Day7
GASN LABORATORY,civil,Concrete Strength test for B35-2(M450)-(Ordinary cement)-Day3
ACC DUCT-FOUNDATION,civil,Survey and setting out
ACC DUCT-FOUNDATION,civil,Holes Drilling
ACC DUCT-FOUNDATION,civil,Cage Installation
ACC DUCT-FOUNDATION,civil,Concrete Pouring
ACC DUCT-FOUNDATION,civil,Holes Drilling
ACC DUCT-FOUNDATION,civil,Cage Installation
ACC DUCT-FOUNDATION,civil,Concrete Pouring
"STEAM TURBINE, GENERATOR FOUNDATION",civil,Concrete test block report
 AIR COOLED CONDENSER,civil,Concrete test block report
GTG BUILDING,civil,Concrete test block report
Gas turbine and generator foundation,civil,Survey and setting out
Fuel gas compressor foundation,civil,Soil replacement/improvement
AIR COOLED CONDENSER,civil, Check the foundation pit after excavation
AIR COOLED CONDENSER,civil,"   Inspection of dimension and level of replacement excavation area, ensure to provide enough work space"
GASN LABORATORY,civil,Concrete Strength test for B25-3(M350) (Sulfate resistance cement)-Day14
AIR COOLED CONDENSER,civil,Check pile head after cutting
ACC DUCT-FOUNDATION,civil,Holes Drilling
ACC DUCT-FOUNDATION,civil,Cage Inspection
ACC DUCT-FOUNDATION,civil,Concrete Pouring
STG BUILDING,civil,Rebar Cage
Fuel gas conditioning skid foundation ,civil,Installation of Reinforcement Inspection of foundation
Fuel gas conditioning skid foundation ,civil,Installation of Formwork Inspection of foundation
RO AND DM BUILDING,civil,"   Soil replacement/improvement,first layer"
STG BUILDING,civil,Survey and setting out
STG BUILDING,civil,Rebar Cage Inspection
STG BUILDING,civil,Holes Drilling
STG BUILDING,civil,Cage Inspection
STG BUILDING,civil,Concrete Pouring
STG BUILDING,civil,Holes Drilling
STG BUILDING,civil,Cage Inspection
STG BUILDING,civil,Concrete Pouring
Fuel gas compressor foundation,civil,"Soil replacement/improvement, 3-layer"
Fuel gas conditioning skid foundation ,civil,Installation of Formwork Inspection of wall manhole
Main electrical building,civil,Concrete finishing & curing Inspection and Concrete repair works of foundations in axes
Control and administration building,civil,Concrete finishing & curing Inspection and Concrete repair works of foundations in axes
GASN LABORATORY,civil,Concrete Strength test for  B35(M450)(Ordinary cement)-Day7
RO AND DM BUILDING,civil,"Soil replacement/improvement and compaction ,second layer"
STG BUILDING,civil,Survey and setting out
STG BUILDING,civil,Rebar cage inspection 
STG BUILDING,civil,Holes drilling
STG BUILDING,civil,Cage Installation
STG BUILDING,civil,Concrete Pouring
STG BUILDING,civil,Holes Drilling
STG BUILDING,civil,Cage Installation
STG BUILDING,civil,Concrete Pouring
STG BUILDING,civil,Rebar Cage Inspection
STG BUILDING,civil,Holes Drilling
STG BUILDING,civil,Cage Inspection
STG BUILDING,civil,Concrete Pouring
STG BUILDING,civil,Holes Drilling
STG BUILDING,civil,Cage Inspection
STG BUILDING,civil,Concrete Pouring
ST TRANSFORMER YARD AREA,civil,"Soil replacement/improvement,first layer"
RO AND DM BUILDING,civil," Soil replacement/improvement and compaction ,3rd layer"
AIR COOLED CONDENSER,civil, Check the foundation pit after excavation
AIR COOLED CONDENSER,civil,"Inspection of dimension and level of 
replacement excavation area, ensure to provide enough work space"
Sewage treatment plant ,civil,11th layer backfilling with compaction
HRSG,civil,Survey of excavation area and setting out
Main electrical building,civil,Check dimension & level of backfilling as per drawing 
Fuel gas compressor foundation,civil,"Soil replacement/improvement, 4-layer"
STG BUILDING,civil,Survey and setting out
STG BUILDING,civil,Rebar cage Inspection
STG BUILDING,civil,Holes Drilling
STG BUILDING,civil,Cage Inspection
STG BUILDING,civil,Concrete Pouring
AIR COOLED CONDENSER,civil,Check pile head after cutting
ST TRANSFORMER YARD AREA,civil,"Soil replacement/improvement,2nd layer"
RO AND DM BUILDING,civil,"  Soil replacement/improvement and 
compaction ,4th layer"
AIR COOLED CONDENSER,civil, Inspection of Survey &set-out works
AIR COOLED CONDENSER,civil,"Inspection ofLean concrete sampling, testing and 
placement inspection"
ST TRANSFORMER YARD AREA,civil,"Soil replacement/improvement,3nd layer"
RO AND DM BUILDING,civil,"  Soil replacement/improvement and 
compaction ,5th layer"
Control and administration building,civil,Concrete finishing & curing Inspection and Concrete repair works of columns in axes
Main electrical building,civil,Concrete finishing & curing Inspection and Concrete repair works of columns in axes
ST TRANSFORMER YARD AREA,civil,"Soil replacement/improvement,4th layer"
RO AND DM BUILDING,civil,"  Soil replacement/improvement and compaction ,6th layer"
AIR COOLED CONDENSER,civil, Check pile head after cutting
STG BUILDING,civil,Holes Drilling
STG BUILDING,civil,Cage Installation
STG BUILDING,civil,Concrete Pouring
Gas turbine and generator foundation №1,civil,Pile head breaking
GTG building,civil,Survey and setting out
STG BUILDING,civil,Survey and setting out
STG BUILDING,civil,Rebar cage inspection
STG BUILDING,civil,Holes Drilling
STG BUILDING,civil,Cage Installation
STG BUILDING,civil,Concrete Pouring
STG BUILDING,civil,Survey and setting out
STG BUILDING,civil,Rebar Cage Inspection
STG BUILDING,civil,Holes Drilling
STG BUILDING,civil,Cage Installation
STG BUILDING,civil,Concrete Pouring
RO AND DM BUILDING,civil," Soil replacement/improvement and 
compaction ,7th layer"
AIR COOLED CONDENSER,civil,Check pile head after cutting
AIR COOLED CONDENSER,civil, Inspection of Survey &set-out works              
AIR COOLED CONDENSER,civil," Inspection of Lean Concrete Sampling, Testing 
& Placement Inspection"
RO AND DM BUILDING,civil,"Soil replacement/improvement and 
compaction ,8th layer"
Gas turbine and generator foundation,civil,Pile head breaking for unit - 2
Sewage treatment plant ,civil,12th layer backfilling with compaction
Fuel gas compressor foundation,civil,"Soil replacement/improvement, 5-layer"
GTG BUILDING,civil,7-day concrete test block test report in the GTG BUILDING
AIR COOLED CONDENSER,civil,28-day concrete test block test report in the AIR COOLED CONDENSER
GTG BUILDING,civil,28-day concrete test block test report in the GTG BUILDING
"STEAM TURBINE, GENERATOR FOUNDATION",civil,"28-day concrete test block test report in the STEAM TURBINE, GENERATOR FOUNDATION"
STG BUILDING,civil,Rebar Cage Inspection for Pile
STG BUILDING,civil,"Holes Drilling for Pile
"
STG BUILDING,civil,"Cage Inspection for Pile
"
STG BUILDING,civil,"Concrete Pouring for Pile
"
STG BUILDING,civil,Rebar Cage Inspection 
STG BUILDING,civil,Holes Drilling
STG BUILDING,civil,Cage Installation
STG BUILDING,civil,Concrete Pouring
CHEMICAL STORAGE SHED,civil,  Check and accept the excavation line before excavation
WTP ELECTRICAL BUILDING,civil,  Check and accept the excavation line before excavation
RO AND DM BUILDING,civil,"  Soil replacement/improvement and 
compaction ,9th layer"
ST TRANSFORMER YARD AREA,civil," Soil replacement/improvement,5th layer"
Gas turbine and generator foundation,civil,"Excavation (Sloping, Shoring & Bracing) Inspection for unit - 1"
Gas turbine and generator foundation,civil,"Inspection of dimension and level of excavation area, ensure to provide enough work space for unit - 1"
Gas turbine and generator foundation,civil,Survey and set-out works for lean formwork installation for unit - 1
Gas turbine and generator foundation,civil,"Lean concrete sampling, testing and placement inspection for unit - 1"
Control and administration building,civil,"Surface preparation,Protective coating (Primer,
 bitumen coating or if any) for side of foundation "
Main electrical building,civil,"Surface preparation,Protective coating (Primer, bitumen coating or if any) for side of foundation "
AIR COOLED CONDENSER,civil, Check the foundation pit after excavation（AG~AJ/A1~A7、AB~AE/A1~A5、AA/A1~A2、AD/A6~A7）
AIR COOLED CONDENSER,civil," Inspection of dimension and level of replacement excavation area, ensure to provide enough work space    "
AIR COOLED CONDENSER,civil,  Inspection of Survey &set-out works 
AIR COOLED CONDENSER,civil,Lean concrete sampling testing placement inspection
AIR COOLED CONDENSER,civil,Check pile head after cutting 
XYH MATERIAL YARD,civil, inspection for rebar installation of oily drain manhole(ODMH32&ODMH33)
Gas turbine and generator foundation,civil,"Excavation (Sloping, Shoring & Bracing) 
Inspection for unit - 2"
Gas turbine and generator foundation,civil,"Inspection of dimension and level of excavation
 area, ensure to provide enough work space for unit - 2"
Gas turbine and generator foundation,civil,"Survey and set-out works for lean formwork
 installation for unit - 2"
STG BUILDING,civil,Rebar Cage Inspection 
STG BUILDING,civil,Holes Drilling
STG BUILDING,civil,Cage Installation
STG BUILDING,civil,Concrete Pouring
STG BUILDING,civil,Holes Drilling
STG BUILDING,civil,Cage Installation
STG BUILDING,civil,Concrete Pouring
STG BUILDING,civil,Holes Drilling
STG BUILDING,civil,Cage Installation
STG BUILDING,civil,Concrete Pouring
Gas turbine and generator foundation,civil,"Lean concrete Sampling, Testing and Placement Inspection for unit-2"
Main electrical building,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
Control and administration building,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
Fuel gas compressor foundation,civil,"Soil replacement/improvement, 6-layer"
HRSG,civil,"Excavation (Sloping, Shoring & Bracing) Inspection for unit - 1"
HRSG,civil,"Inspection of dimension and level of excavation area, ensure to provide enough work space for unit - 1"
HRSG,civil,Survey and set-out works for lean formwork installation for unit - 1
HRSG,civil,"Lean concrete sampling, testing and placement inspection for unit - 1"
Fuel gas compressor foundation,civil,"Inspection of compaction and testing  
(PLT)"
HRSG,civil,Pile head cutting for units - 1 and  2
GTG building,civil,Survey of excavation area and setting out in axes 
Main electrical building,civil,Surface preparation and protective coating with primer bitumen for columns 
RO AND DM BUILDING,civil,"Soil replacement/improvement,10th layer"
ST TRANSFORMER YARD AREA,civil,"Soil replacement/improvement,6th layer"
HRSG,civil,"Excavation (Sloping, Shoring & Bracing) Inspection"
HRSG,civil,"Inspection of dimension and level of excavation area, ensure to provide enough work space"
HRSG,civil,Survey and set-out works for lean formwork installation
HRSG,civil,"Lean concrete sampling, testing and placement inspection "
AIR COOLED CONDENSER,civil,Pile head cutting
AIR COOLED CONDENSER,civil,Inspection of Survey &set-out works for lean conerete 
AIR COOLED CONDENSER,civil,"Lean concrete sampling, testing and placement Inspection"
ACC DUCT,civil,  Check and accept the excavation line before excavation
STG BUILDING,civil,Holes Drilling
STG BUILDING,civil,Cage Installation
STG BUILDING,civil,Concrete Pouring
STG BUILDING,civil,Holes Drilling
STG BUILDING,civil,Cage Installation
STG BUILDING,civil,Concrete Pouring
GAS TURBINE & GENERATOR,civil,28-day concrete test block test report in the GAS TURBINE & GENERATOR
HRSG,civil,7 day concrete test block test report for HRSG Area            
GTG BUILDING,civil,28-day concrete test block test report in the GTG BUILDING
"STEAM TURBINE, GENERATOR FOUNDATION",civil,"28-day concrete test block test report in STEAM TURBINE, GENERATOR FOUNDATION"
ACC DUCT-FOUNDATION,civil,7-day concrete test block test report in ACC DUCT-FOUNDATION
STG BUILDING,civil,7-day concrete test block test report in STG BUILDING
GASN LABORATORY,civil,Concrete Strength test for  B35-2(M450)(Ordinary cement) Day14
Fuel gas compressor foundation,civil,"Soil replacement/improvement,7-layer"
Fuel gas compressor foundation,civil,Survey and setiing out
AIR COOLED CONDENSER,civil,Check pile head after cutting
GTG BUILDING,civil,28-day concrete test block test report in the GTG BUILDING
"STEAM TURBINE, GENERATOR FOUNDATION",civil,"28-day concrete test block test report in the STEAM TURBINE, GENERATOR FOUNDATION"
STG BUILDING,civil,7-day concrete test block test report in the STG BUILDING
AIR COOLED CONDENSER,civil,"Inspection of Survey &set-out works for lean 
conerete formwork(A1~A2/AA,AB~AE/A1,AH~AJ/A1~A3,AH~AJ/A5~A7)"
AIR COOLED CONDENSER,civil,"Inspection of lean concrete sampling, testing and placement inspection."
CHEMICAL STORAGE SHED,civil, Check the foundation pit after excavation
CHEMICAL STORAGE SHED,civil,"Inspection of dimension and level of replacement excavation area, ensure to provide enough work space               "
GTG BUILDING,civil,Pile Head Cutting
GTG BUILDING,civil,"Excavation (slopping, Shoring, and Bracing) Inspection in axes"
GTG BUILDING,civil,"Check dimension & level of excavation area, ensure to provide enough work space in axes "
Main electrical building,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
GTG BUILDING,civil,Survey and setting out
Main Pipe/Cable Rack,civil,Survey and setting out
Fuel gas compressor foundation,civil,"Excavation (Sloping, Shoring & Bracing) Inspection"
Fuel gas compressor foundation,civil,Check dimension & level of excavation area
Fuel gas compressor foundation,civil,Survey and set out works
Main electrical building,civil,Surface preparation and protective coating with primer bitumen coating or if any for top of foundations
Control and administration building,civil,"Surface preparation, Protective coating(Primer, bitumen coating or if any)"
Main electrical building,civil,Check dimension & level of backfilling as per drawing 
Transformer yard area,civil,Soil replacement/Improvement
Gas turbine and generator foundation №1,civil,Lean concrete sampling testing and placement inspection
Main electrical building,civil,Installation of formworks and Embedded items Inspection
Control and administration building,civil,Installation of formworks and Embedded items Inspection
GTG BUILDING,civil,Pile Head Cutting
Main electrical building,civil,"Concrete finishing inspection, Concrete 
repair works  "
RO AND DM BUILDING,civil,Soil Improvement
ST TRANSFORMER YARD AREA,civil,Soil Improvement
RO AND DM BUILDING,civil,Soil Improvement
CHEMICAL STORAGE SHED,civil,Soil Improvement
AIR COOLED CONDENSER,civil,Installation of Rainforcement Inspection
RO AND DM BUILDING,civil,Survey and setting out
ST TRANSFORMER YARD AREA,civil,Soil Improvement
GAS TURBINE & GENERATOR,civil,Concrete Pouring 
HRSG,civil,Concrete Pouring 
AIR COOLED CONDENSER,civil,Concrete Pouring 
"STEAM TURBINE, GENERATOR FOUNDATION",civil,"28-day concrete test block test report in the STEAM 
TURBINE, GENERATOR FOUNDATION"
HRSG,civil,28 day concrete test block test report for HRSG Area    
GTG BUILDING,civil,"28-day concrete test block test report in the 
GTG BUILDING"
STG BUILDING,civil,"7-day concrete test block test report in the 
STG BUILDING"
Main electrical building,civil,"Surface preparation , Protective coating 
(Primer,bitumen coating or if any)"
Transformer yard area,civil,Survey of excavation area and setting out
Control and administration building,civil,Check dimension & level of backfilling as per drawing 
Transformer yard area,civil,Soil replacement/Improvement
Main electrical building,civil,Check dimension & level of backfilling as per drawing 
Fuel gas compressor foundation,civil,"Lean concrete sampling, testing and placement inspection."
GTG BUILDING,civil,"Lean concrete sampling, testing and placement inspection "
Main electrical building,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
Main electrical building,civil,Concrete finishing inspection Concrete repair works of foundation
GTG building,civil,Pile Head Cutting
GTG building,civil,Excavation (Slopping and Bracing) Inspection 
ST TRANSFORMER YARD AREA,civil,Soil Improvement
CHEMICAL STORAGE SHED,civil,Soil Improvement
AIR COOLED CONDENSER (ACC）,civil,Survey of excavation area and setting out
RO AND DM BUILDING,civil,Lean concrete sampling testing and placement
GTG building,civil,"Check dimension & level of excavation area, ensure to provide enough work space"
GTG building,civil,Survey and setting out
Control and administration building,civil,Check dimension & level of backfilling as per drawing 
Gas turbine and generator foundation №1,civil,Installation of Rainforcement Inspection
Gas turbine and generator foundation №2,civil,Installation of Rainforcement Inspection
Transformer yard area,civil,Soil replacement/Improvement
HRSG 1-2,civil,Lean concrete sampling testing and placement inspection  
Main electrical building,civil,"Surface preparation, Protective coating(Primer, 
bitumen coating or if any)"
Control and administration building,civil,"Concrete finishing inspection, Concrete 
repair works"
CHEMICAL STORAGE SHED,civil,Soil replacement
AIR COOLED CONDENSER,civil,Survey and set out works
ST TRANSFORMER YARD AREA,civil,Soil Improvement
AIR COOLED CONDENSER,civil,Installation of Rainforcement Inspection
CHEMICAL STORAGE SHED,civil,Survey and setting out
AIR COMPRESSOR ,civil,Survey and setiing out
Control and administration building,civil,Check dimension & level of backfilling as per drawing 
Main electrical building,civil,Check dimension & level of backfilling as per drawing 
Main electrical building,civil,"Concrete Sampling, Testing & Placement Inspection"
Control and administration building,civil,"Concrete Sampling, Testing & Placement Inspection"
Control and administration building,civil,"Surface preparation, Protective coating (Primer, bitumen coating or if any) "
Fuel gas compressor foundation,civil,"Inspection of concrete sampling, testing and placement for foundation"
Main electrical building,civil,Concrete finishing inspection Concrete repair works of foundation
GTG BUILDING,civil,"Lean concrete sampling, testing and placement inspection"
GTG BUILDING,civil,Pile Head Cutting
Secondary Pipe/Сable rack,civil,Survey of excavation area and setting out
Transformer yard area,civil,Soil replacement/Improvement
GTG building,civil,"Excavation (Sloping, Shoring & Bracing) Inspection"
HRSG Area,civil,Concrete Pouring
STG BUILDING,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
HRSG,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
GTG building,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
GTG building,civil,Concrete Pouring
GTG building,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
STG BUILDING,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
GAS TURBINE & GENERATOR,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
500/220kV Substation Area,civil,Survey and setting out
RO AND DM BUILDING,civil,Installation of Rainforcement Inspection
RO AND DM BUILDING,civil,Installation of Rainforcement Inspection
CHEMICAL STORAGE SHED,civil,Soil Improvement
GAS TURBINE & GENERATOR,civil,Pile integrity test
HRSG Area,civil,Pile integrity test
AIR COOLED CONDENSER,civil,Pile integrity test
HJH Rebar shop,civil,Rebar Cage Installation
GTG BUILDING,civil,Concrete Pouring
AIR COOLED CONDENSER,civil,Installation of formwork
AIR COOLED CONDENSER,civil,"Lean concrete sampling, Testing and 
Placement Inspection"
CHEMICAL STORAGE SHED,civil,"Lean concrete sampling, Testing and 
Placement Inspection"
AIR COOLED CONDENSER,civil,Installation of Reinforcement Inspection of foundation
AIR COOLED CONDENSER,civil,Installation of formworks
WTP ELECTRICAL BUILDING,civil,"Excavation (Sloping, Shoring & Bracing) Inspection"
WTP ELECTRICAL BUILDING,civil,"Inspection of dimension and level of replacement axcavation area, ensure to provide enough work space"
AIR COOLED CONDENSER,civil,"Excavation (Sloping, Shoring & Bracing) Inspection"
GTG building,civil,"Check dimension & level of excavation area, ensure to provide enough work space"
GTG building,civil,Survey and setting out
Process/Oily water drainage and pond,civil,Survey of excavation area and setting out
HRSG №1,civil,Installation of Rainforcement Inspection
GTG BUILDING,civil,"Excavation (Sloping, Shoring & Bracing) Inspection"
GTG BUILDING,civil,"Check dimension & level of excavation area, ensure to provide enough work space"
GTG BUILDING,civil,Survey and set out works 
Main electrical building,civil,Check dimension & level of backfilling as per drawing 
Main electrical building,civil,Check dimension & level of backfilling as per drawing 
Transformer yard area,civil,Soil replacement/Improvement
Sewage treatment plant (East side),civil,Backfilling and compaction
Control and administration building,civil,Check dimension & level of backfilling as per drawing 
Transformer yard area,civil,Inspection of compaction and testing (PLT)
GTG BUILDING,civil,"Lean concrete sampling , testing and placement inspection"
Control and administration building,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
Control and administration building,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
Main electrical building,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
HRSG №2,civil,Installation of Rainforcement Inspection
HRSG №1,civil,Installation of Rainforcement Inspection
Secondary Pipe/Сable rack,civil,Survey and set out works 
GASN LABORATORY,civil,Concrete Strength test for  B25-3(M350)(Sulfate resistance cement)
GASN LABORATORY,civil,Concrete Strength test for  B35-2(M450)(Ordinary cement) Day28
GTG BUILDING,civil,"Lean concrete sampling, testing and placement inspection"
Main electrical building,civil,Check dimension & level of backfilling as per drawing 
Main electrical building,civil,Check dimension & level of backfilling as per drawing 
Control and administration building,civil,Check dimension & level of backfilling as per drawing 
Transformer yard area,civil,Soil replacement / Improvement
Main electrical building,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
Secondary Pipe/Сable rack,civil,Inspection of compaction and testing (PLT)
Control and administration building,civil,Check dimension & level of backfilling as per drawing 
Main electrical building,civil,Check dimension & level of backfilling as per drawing 
Main electrical building,civil,Check dimension & level of backfilling as per drawing 
AIR COOLED CONDENSER,civil,"Inspection of dimension and level excavation area, ensure to provide enough work space"
AIR COOLED CONDENSER,civil,Survey and set out works
500/220kV Substation Area,civil,Topsoil clean
GTG BUILDING,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
ACC DUCT-FOUNDATION,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
STG BUILDING,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
AIR COOLED CONDENSER,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
HRSG,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
ACC DRAIN POT FOUNDATION,civil,Rebar cage Inspection
ACC DRAIN POT FOUNDATION,civil,Survey and setting out
ACC DRAIN POT FOUNDATION,civil,Holes Drilling
ACC DRAIN POT FOUNDATION,civil,Cage Installation
ACC DRAIN POT FOUNDATION,civil,Concrete Pouring
ACC DRAIN POT FOUNDATION,civil,Rebar cage Inspection
AIR COOLED CONDENSER,civil,Installation of Rainforcement Inspection
AIR COOLED CONDENSER,civil,"Lean concrete sampling, testing and placement"
AIR COOLED CONDENSER,civil,"Concrete Sampling, Testing & Placement Inspection"
XYH MATERIAL YARD,civil,Installation of Rainforcement Inspection
ST TRANSFORMER YARD AREA,civil,Soil Improvement
AIR COOLED CONDENSER,civil,Installation of Rainforcement Inspection
AIR COOLED CONDENSER,civil,Installation of formworks
ST TRANSFORMER YARD AREA,civil,Soil Improvement
Fuel gas conditioning skid foundation,civil,Installation of Rainforcement Inspection
Fuel gas conditioning skid foundation,civil,"Installation of formworks and Shuttering, 
Embedded items Inspection"
500/220kV Substation Area,civil,Topsoil clean
ACC DRAIN POT FOUNDATION,civil,Holes Drilling
ACC DRAIN POT FOUNDATION,civil,Cage Installation
ACC DRAIN POT FOUNDATION,civil,Concrete Pouring
GTG building,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
STG BUILDING,civil,"Verify concrete fiels test results conform to 
the specifications and approved mix designs"
Gas turbine and generator foundation №1,civil,"Installation of formworks and Shuttering, 
Embedded items Inspection"
Gas turbine and generator foundation №1,civil,Installation of Rainforcement Inspection
Control and administration building,civil,Check dimension & level of backfilling as per drawing 
Main electrical building,civil,Check dimension & level of backfilling as per drawing 
Transformer yard area,civil,Soil replacement/Improvement
RO AND DM BUILDING,civil,"Inspection of foundation Concrete Sampling, Testing and Placement "
AIR COOLED CONDENSER,civil,Installation of Reinforcement Inspection 
ST TRANSFORMER YARD AREA,civil,Soil Improvement
AIR COOLED CONDENSER,civil,"Concrete Sampling, Testing & Placement Inspection"
Secondary Pipe/Сable rack,civil,"Lean concrete sampling testing and
 placement inspection"
Transformer yard area,civil,Inspection of compaction and testing (PLT) 
ST TRANSFORMER YARD AREA,civil,Soil Improvement
Fuel gas conditioning skid foundation,civil,"Inspection of concrete sampling, testing and placement for foundation "
500/220kV Substation Area,civil,Topsoil clean
CHEMICAL STORAGE SHED,civil,Installation of Reinforcement Inspection 
AIR COOLED CONDENSER,civil,Installation of Formworks & Shuttering
AIR COOLED CONDENSER,civil,Installation of Reinforcement Inspection 
ST TRANSFORMER YARD AREA,civil,Soil Improvement
Gas turbine and generator foundation №2,civil,Installation of Rainforcement Inspection
Gas turbine and generator foundation №2,civil,"Installation of Formworks and Shuttering, 
Embedded items Inspection"
Secondary Pipe/Сable rack,civil,Installation of Rainforcement Inspection
Secondary Pipe/Сable rack,civil,"Installation of formworks and Shuttering, 
Embedded items Inspection"
Sanitary System,civil,Installation of Rainforcement Inspection
Gas turbine and generator foundation №2,civil,"Installation of Formworks and Shuttering, 
Embedded items Inspection"
Secondary Pipe/Сable rack,civil,"Inspection of concrete sampling, testing and placement for foundation "
Control and administration building,ELECTRICAL,Grounding Cable and GS flat
CHEMICAL STORAGE SHED,civil,Installation of formworks
ST TRANSFORMER YARD AREA,civil,Soil Improvement
WTP ELECTRICAL BUILDING,civil,Soil Improvement
XYH MATERIAL YARD,civil,Installation of Reinforcement Inspection 
CHEMICAL STORAGE SHED,civil,"Concrete Sampling, Testing & Placement Inspection"
STG BUILDING,civil,"Verify concrete field test results conform to 
the specifications and approved concrete mix designs"
ACC DRAIN POT FOUNDATION,civil,Holes Drilling
ACC DRAIN POT FOUNDATION,civil,Cage Installation
ACC DRAIN POT FOUNDATION,civil,Concrete Pouring
Main electrical building,ELECTRICAL,Grounding Cable and GS flat
ST TRANSFORMER YARD AREA,civil,Soil Improvement
