Work Section (Location),Department," Inspection Request for:
(Type of Inspection)"
Evaporation pond,Civil,7th layer backfilling with compaction
Chemical bulk storage shed,Civil,Excavation works
Evaporation pond,Civil,8th layer backfilling with compaction
Hydrogen generation plant,Civil,10th layer backfilling with compaction
Evaporation pond,Civil,9th layer backfilling with compaction
Sewage treatment plant,Civil,11th layer backfilling with compaction
Evaporation pond,Civil,10th layer backfilling with compaction
Hydrogen generation plant,Civil,11th layer backfilling with compaction
Sewage treatment plant,Civil,12th layer backfilling with compaction
Evaporation pond,Civil,11th layer backfilling with compaction
Sewage treatment plant,Civil,13th layer backfilling with compaction
Steam turbine building,Civil,7th layer backfilling with compaction
Evaporation pond,Civil,12th layer backfilling with compaction
Evaporation pond,Civil,13th layer backfilling with compaction
Control and administration building,Civil,Excavation works
Gas turbine generator step-up transformer ,Civil,Excavation works
Hydrogen generation plant,Civil,Excavation works
Steam turbine building,Civil,Excavation works
Power plant ACC,Civil,Excavation works
Gas turbine building,Civil,Excavation works
HRSG,Civil,1st layer backfilling with compaction
HRSG,Civil,Excavation works
Sewage treatment plant,Civil,Excavation works
Evaporation pond,Civil,Excavation works
№1 test pile pit ,Civil,1st layer backfilling with compaction
№2 test pile pit ,Civil,1st layer backfilling with compaction
№3 test pile pit ,Civil,1st layer backfilling with compaction
№4 test pile pit ,Civil,1st layer backfilling with compaction
№1 test pile pit ,Civil,2nd layer backfilling with compaction
№2 test pile pit ,Civil,2nd layer backfilling with compaction
№3 test pile pit ,Civil,2nd layer backfilling with compaction
№4 test pile pit ,Civil,2nd layer backfilling with compaction
№1 test pile pit ,Civil,3rd layer backfilling with compaction
№2 test pile pit ,Civil,3rd layer backfilling with compaction
№3 test pile pit ,Civil,3rd layer backfilling with compaction
№4 test pile pit ,Civil,3rd layer backfilling with compaction
№1 test pile pit ,Civil,4th layer backfilling with compaction
№2 test pile pit ,Civil,4th layer backfilling with compaction
№3 test pile pit ,Civil,4th layer backfilling with compaction
№4 test pile pit ,Civil,4th layer backfilling with compaction
№1 test pile pit ,Civil,5th layer backfilling with compaction
№2 test pile pit ,Civil,5th layer backfilling with compaction
№3 test pile pit ,Civil,5th layer backfilling with compaction
№4 test pile pit ,Civil,5th layer backfilling with compaction
№1 test pile pit ,Civil,6th layer backfilling with compaction
№2 test pile pit ,Civil,6th layer backfilling with compaction
№3 test pile pit ,Civil,6th layer backfilling with compaction
№4 test pile pit ,Civil,6th layer backfilling with compaction
№1 test pile pit ,Civil,7th layer backfilling with compaction
№2 test pile pit ,Civil,7th layer backfilling with compaction
№3 test pile pit ,Civil,7th layer backfilling with compaction
№4 test pile pit ,Civil,7th layer backfilling with compaction
№1 test pile pit ,Civil,8th layer backfilling with compaction
№2 test pile pit ,Civil,8th layer backfilling with compaction
№3 test pile pit ,Civil,8th layer backfilling with compaction
№4 test pile pit ,Civil,8th layer backfilling with compaction
№1 test pile pit ,Civil,9th layer backfilling with compaction
№2 test pile pit ,Civil,9th layer backfilling with compaction
№3 test pile pit ,Civil,9th layer backfilling with compaction
№4 test pile pit ,Civil,9th layer backfilling with compaction
№1 test pile pit ,Civil,10th layer backfilling with compaction
№2 test pile pit ,Civil,10th layer backfilling with compaction
№3 test pile pit ,Civil,10th layer backfilling with compaction
№4 test pile pit ,Civil,10th layer backfilling with compaction
West access road,Civil,1st layer backfilling with compaction
West access road,Civil,2nd layer backfilling with compaction
West access road,Civil,3rd layer backfilling with compaction
West access road,Civil,4th layer backfilling with compaction
West access road,Civil,5th layer backfilling with compaction
West access road,Civil,FDT testing of soil replacement/improvement of access road
Quarry in Sherobod district (AZIZBEK SHEROBOD KARIER),Civil,Sample taking for soil improvement/replacement material
Main electrical building,Civil,survey of excavation area and setting out
Control and administration building,Civil,survey of excavation area and setting out
MAIN ELECTRICAL BUILDING TP-01,civil,Pile integrity test
MAIN ELECTRICAL BUILDING TP-01,civil,Load test on piles under axial compression
	ACC POWER HOUSE TP-02,civil,Pile integrity test
	ACC POWER HOUSE TP-02,civil,Load test on piles under axial compression
MAIN ELECTRICAL BUILDING TP-03,civil,Pile integrity test
MAIN ELECTRICAL BUILDING TP-03,civil, Load test on piles under axial tension
	ACC POWER HOUSE TP-04,civil,Pile integrity test
	ACC POWER HOUSE TP-04,civil, Load test on piles under axial tension
MAIN ELECTRICAL BUILDING TP-05,civil,Pile integrity test
MAIN ELECTRICAL BUILDING TP-05,civil,Load test on piles under lateral load
	ACC POWER HOUSE TP-06,civil,Pile integrity test
	ACC POWER HOUSE TP-06,civil,Load test on piles under lateral load
	H2-CENTRAL SUPPLY RACK TP-07,civil,	Pile integrity test
	H2-CENTRAL SUPPLY RACK TP-07,civil,Load test on piles under axial compression
	STGLOCAL CONTROL PANEL ROOM TP-08,civil,	Pile integrity test
	STGLOCAL CONTROL PANEL ROOM TP-08,civil,Load test on piles under axial compression
	H2-CENTRAL SUPPLY RACK TP-09,civil,	Pile integrity test
	H2-CENTRAL SUPPLY RACK TP-09,civil, Load test on piles under axial tension
	STGLOCAL CONTROL PANEL ROOM TP-10,civil,	Pile integrity test
	STGLOCAL CONTROL PANEL ROOM TP-10,civil, Load test on piles under axial tension
	H2-CENTRAL SUPPLY RACK TP-11,civil,	Pile integrity test
	H2-CENTRAL SUPPLY RACK TP-11,civil,Load test on piles under lateral load
	STGLOCAL CONTROL PANEL ROOM TP-12,civil,	Pile integrity test
